college,cases,LAT,LON
"University of California, Irvine",131,33.648434,-117.841248
"University of California, Los Angeles",219,34.068892,-118.443901
"University of California, Merced",17,37.366237,-120.424944
"University of California, Riverside",73,33.97246,-117.32741
"University of California, San Diego",362,32.877749,-117.235866
"University of California, San Francisco",,37.763737,-122.458489
"University of California, Santa Barbara",12,34.416297,-119.846426
"University of California, Santa Cruz",20,36.995584,-122.058801
University of La Verne,0,34.100855,-117.773262
University of Redlands,9,34.064218,-117.163218
University of San Diego,157,32.770816,-117.192073
University of San Francisco,9,37.776618,-122.450477
University of Southern California,548,34.021281,-118.284169
University of the Pacific,10,37.981424,-121.312301
Westmont College,7,34.450151,-119.662517
Whittier College,5,33.978773,-118.032299
Adams State University,11,37.473636,-105.879642
Arapahoe Community College,20,39.607505,-105.018631
Colorado Christian University,16,39.71388,-105.09456
Colorado College,16,38.84886,-104.822697
Colorado Mesa University,111,39.080643,-108.553275
Colorado Mountain College Glenwood Springs,8,39.54636,-107.324441
Colorado School of Mines,84,39.751443,-105.223364
Colorado State University,520,40.574805,-105.080732
Colorado State University-Pueblo,38,38.30859,-104.579033
Community College of Denver,89,39.741413,-105.001044
Fort Lewis College,33,37.275939,-107.867422
Front Range Community College,18,39.901452,-105.038068
Johnson & Wales University-Denver,1,39.746101,-104.906281
Metropolitan State University of Denver,38,39.744202,-105.00504
Morgan Community College,3,40.258792,-103.771822
Pikes Peak Community College,25,38.764287,-104.787261
Pueblo Community College,5,38.262124,-104.636258
Red Rocks Community College,0,39.720277,-105.150094
Regis University,71,39.788175,-105.030756
Trinidad State Junior College,2,37.172059,-104.513451
United States Air Force Academy,2,39.010957,-104.891358
University of Colorado Boulder,1806,40.008781,-105.270823
University of Colorado Colorado Springs,35,38.892735,-104.800296
University of Colorado Denver and Anschutz Medical Campus,64,39.745149,-104.837722
University of Denver,233,39.678005,-104.963259
University of Northern Colorado,61,40.410855,-104.692777
Western Colorado University,12,38.549936,-106.919132
Albertus Magnus College,4,41.332519,-72.923848
Central Connecticut State University,93,41.692502,-72.765991
Connecticut College,25,41.379833,-72.107321
Eastern Connecticut State University,41,41.721673,-72.218753
Fairfield University,304,41.157673,-73.255903
Mitchell College,2,41.328013,-72.09523
Post University,0,41.535549,-73.081497
Quinnipiac University,23,41.418915,-72.894117
Sacred Heart University,338,41.220893,-73.243332
Southern Connecticut State University,39,41.333225,-72.947897
Trinity College,28,41.747451,-72.690882
Tunxis Community College,,41.705498,-72.87754
United States Coast Guard Academy,9,41.375823,-72.101583
University of Bridgeport,10,41.164741,-73.190166
University of Connecticut,327,41.809098,-72.249948
University of Hartford,41,41.798591,-72.715213
University of New Haven,34,41.291314,-72.961472
University of Saint Joseph,3,41.781041,-72.72965
Wesleyan University,9,41.554665,-72.657146
Western Connecticut State University,24,41.400365,-73.444264
Yale University,219,41.311158,-72.926688
Delaware State University,77,39.187173,-75.54053
Delaware Technical Community College Dover ,5,39.198371,-75.56012
Delaware Technical Community College Georgetown,41,38.696677,-75.406093
Delaware Technical Community College Stanton,14,39.740508,-75.552283
Goldey-Beacom College,0,39.741501,-75.689624
University of Delaware,443,39.679577,-75.752822
Wesley College,14,39.163182,-75.527716
Wilmington University,,39.682299,-75.586998
AdventHealth University,2,28.576142,-81.367687
American Institute of Beauty,1,27.915072,-82.749094
Atlantic Technical College,1,26.24278,-80.192271
Ave Maria University,27,26.335983,-81.438945
